Id,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea
1726,60,70,7703,Inside,SawyerW,1Fam,2Story,6,6,1992,Gable,816,1730,3,6,528
1727,120,50,7175,Inside,SawyerW,TwnhsE,1Story,6,5,1990,Gable,1332,1332,2,5,542
1728,60,70,9109,Inside,SawyerW,1Fam,2Story,7,5,1994,Gable,754,1540,3,6,495
1729,60,NA,10274,CulDSac,SawyerW,1Fam,2Story,6,7,1986,Gable,676,1400,3,6,465
1730,90,75,8250,Inside,SawyerW,Duplex,2Story,6,7,1981,Gable,0,1882,4,8,612
1731,20,63,9750,Inside,Sawyer,1Fam,1Story,5,5,1962,Hip,980,980,3,5,400
1732,20,NA,8499,Corner,Sawyer,1Fam,1Story,5,6,1961,Gable,864,864,3,5,732
1733,20,NA,9079,Inside,Sawyer,1Fam,1Story,5,5,1961,Gable,864,864,2,5,440
1734,20,NA,9316,Inside,Sawyer,1Fam,1Story,5,5,1965,Gable,1024,1020,3,5,288
1735,20,NA,7791,Inside,Sawyer,1Fam,1Story,5,8,1963,Gable,912,912,3,6,300
1736,20,65,7150,Inside,Sawyer,1Fam,1Story,5,6,1962,Gable,912,912,3,6,252
1737,20,NA,15676,Inside,Veenker,1Fam,1Story,8,8,1980,Gable,2014,2014,2,6,864
1738,60,NA,11949,Inside,NoRidge,1Fam,2Story,7,8,1991,Gable,975,1755,3,7,524
1739,160,32,2880,Inside,Somerst,Twnhs,2Story,7,5,2004,Gable,1376,3005,3,9,704
1740,120,NA,3830,Inside,Somerst,TwnhsE,1Story,6,5,2008,Gable,1726,1726,2,6,561
1741,120,NA,4217,Inside,Somerst,TwnhsE,1Story,6,5,2008,Gable,1145,1256,1,5,641
1742,160,34,2998,Inside,Somerst,TwnhsE,2Story,6,5,2000,Gable,756,1512,2,4,440
1743,160,35,3768,FR2,Somerst,TwnhsE,2Story,7,5,1999,Hip,691,1452,3,6,506
1744,20,NA,14694,Inside,Veenker,1Fam,1Story,8,9,1977,Gable,1694,1694,2,5,642
1745,20,110,15417,Inside,Veenker,1Fam,1Story,7,5,1981,Gable,1740,1740,2,7,540
1746,80,80,9600,FR2,Veenker,1Fam,SLvl,8,5,1976,Gable,392,2499,4,5,527
1747,60,NA,12732,CulDSac,NWAmes,1Fam,2Story,7,6,1974,Gable,752,2067,3,7,784
1748,60,80,10400,Inside,NWAmes,1Fam,2Story,6,7,1967,Gable,932,2640,5,8,515
1749,20,80,9600,Inside,NWAmes,1Fam,1Story,5,5,1969,Gable,1288,1336,3,6,502
1750,20,75,9000,Inside,NWAmes,1Fam,1Story,6,5,1969,Gable,1216,1216,3,5,336
1751,60,NA,13774,Inside,NWAmes,1Fam,2Story,7,7,1977,Hip,908,2288,4,8,520
1752,20,62,7130,Inside,NAmes,1Fam,1Story,5,6,1967,Gable,864,864,2,5,312
1753,20,80,9600,Inside,NAmes,1Fam,1Story,5,5,1967,Hip,1568,1568,3,7,440
1754,60,80,9600,Inside,NWAmes,1Fam,2Story,7,5,1974,Gable,1165,2061,4,8,498
1755,85,NA,16500,Inside,NWAmes,1Fam,SFoyer,6,5,1971,Hip,1232,1320,3,5,495
1756,20,60,7436,Inside,NAmes,1Fam,1Story,4,7,1960,Gable,894,894,2,5,396
1757,20,65,8125,Inside,NAmes,1Fam,1Story,5,7,1959,Hip,864,864,3,5,308
1758,20,NA,9450,Corner,NAmes,1Fam,1Story,4,5,1957,Gable,1040,1362,3,6,768
1759,20,NA,13495,Corner,NAmes,1Fam,1Story,5,6,1956,Gable,1048,1728,3,7,576
1760,20,85,9350,Inside,NAmes,1Fam,1Story,5,6,1961,Gable,1313,1313,3,6,610
1761,20,115,10500,Inside,NAmes,1Fam,1Story,5,5,1964,Gable,1292,1292,3,6,520
1762,60,NA,8970,Corner,NAmes,1Fam,2Story,5,6,1965,Gable,744,2140,4,7,549
1763,80,85,11475,Corner,NAmes,1Fam,SLvl,6,6,1961,Hip,1208,1576,4,7,368
1764,20,68,9768,Inside,NAmes,1Fam,1Story,5,5,1955,Gable,960,960,2,5,330
1765,20,90,9900,Inside,NAmes,1Fam,1Story,6,5,1967,Gable,1680,1691,2,5,550
1766,20,92,10573,Corner,NAmes,1Fam,1Story,6,6,1961,Hip,1453,1453,3,6,530
1767,20,80,14695,Inside,NAmes,1Fam,1Story,6,8,1966,Gable,1562,1567,2,5,542
1768,20,73,8760,Inside,NAmes,1Fam,1Story,5,7,1956,Gable,1169,1144,3,6,286
1769,20,NA,12285,Inside,NAmes,1Fam,1Story,7,6,1960,Gable,1329,1329,3,5,441
1770,20,66,9240,Inside,NAmes,1Fam,1Story,6,8,1959,Hip,988,988,3,6,297
1771,20,70,8750,Inside,NAmes,1Fam,1Story,5,5,1956,Gable,1202,1202,3,6,304
1772,20,70,8750,Inside,NAmes,1Fam,1Story,5,5,1955,Gable,1382,1382,3,6,350
1773,20,80,10400,Corner,NAmes,1Fam,1Story,4,5,1956,Gable,1200,1200,3,6,294
1774,90,76,9482,Inside,NAmes,Duplex,1Story,5,4,1958,Hip,1866,1866,4,8,495
1775,20,53,8128,CulDSac,NAmes,1Fam,1Story,6,7,1954,Hip,1062,1062,3,6,297
1776,20,67,13070,Corner,NAmes,1Fam,1Story,5,5,1951,Hip,631,1112,2,5,480
1777,30,80,8480,Corner,NAmes,1Fam,1Story,5,6,1945,Gable,793,793,2,4,240
1778,20,60,7626,Inside,NAmes,1Fam,1Story,5,8,1952,Hip,1031,1031,2,5,230
1779,20,75,9533,Inside,NAmes,1Fam,1Story,5,5,1953,Hip,0,1210,2,7,616
1780,60,78,11419,Corner,NAmes,1Fam,2Story,7,7,1948,Gable,699,1527,3,6,410
1781,20,60,9600,Inside,NAmes,1Fam,1Story,5,6,1950,Gable,1200,1200,3,6,246
1782,20,53,5470,Inside,OldTown,1Fam,1Story,3,5,1958,Gable,792,792,2,4,366
1783,60,60,10800,Inside,OldTown,1Fam,2Story,5,7,1939,Gable,676,1352,4,7,720
1784,70,80,8146,Corner,OldTown,1Fam,2Story,4,8,1900,Gable,405,1039,2,6,281
1785,30,60,10230,Inside,OldTown,1Fam,1Story,5,7,1925,Gable,1054,1078,3,6,264
1786,50,60,10410,Inside,OldTown,1Fam,1.5Fin,4,5,1915,Gable,1313,2377,3,8,528
1787,70,60,7200,Corner,OldTown,1Fam,2Story,7,9,1910,Gable,560,1690,4,5,624
1788,30,90,5400,Inside,OldTown,1Fam,1Story,2,5,1940,Gable,416,599,2,4,0
1789,30,60,10800,Inside,OldTown,1Fam,1Story,5,7,1920,Gable,720,846,2,4,576
1790,30,60,10800,Corner,OldTown,1Fam,1Story,3,5,1890,Gable,630,725,1,4,320
1791,90,81,9671,Corner,NAmes,Duplex,2Story,6,5,1969,Gable,1248,2544,6,12,907
1792,20,83,10143,Inside,NAmes,1Fam,1Story,6,7,1963,Gable,1380,1380,3,6,364
1793,20,77,11500,Inside,NAmes,1Fam,1Story,6,4,1967,Gable,1040,1040,3,6,480
1794,20,62,8010,Inside,NAmes,1Fam,1Story,6,9,1958,Hip,951,951,2,6,480
1795,20,90,10454,Corner,NAmes,1Fam,1Story,6,6,1957,Hip,1105,1105,3,5,308
1796,20,80,9000,Inside,NAmes,1Fam,1Story,6,6,1958,Flat,160,1142,2,5,384
1797,50,60,8064,Inside,NAmes,1Fam,1.5Fin,6,5,1950,Gable,795,1133,3,5,900
1798,20,71,7350,Inside,NAmes,1Fam,1Story,5,6,1958,Hip,1041,1041,3,6,294
1799,20,60,7200,Corner,NAmes,1Fam,1Story,5,7,1952,Gable,732,732,2,4,240
1800,80,80,8000,Inside,NAmes,1Fam,SLvl,5,5,1959,Gable,528,1183,3,6,288
1801,50,60,10800,Inside,NAmes,1Fam,1.5Fin,4,7,1949,Gable,832,1461,4,6,384
1802,50,60,8064,Corner,NAmes,1Fam,1.5Fin,6,7,1948,Gable,864,1495,3,6,576
1803,60,76,7570,Corner,NAmes,1Fam,2Story,6,5,1964,Gable,780,1806,4,8,483
1804,90,75,8604,Inside,NAmes,Duplex,SFoyer,5,7,1978,Gable,941,941,2,4,564
1805,20,80,7936,Inside,NAmes,1Fam,1Story,6,6,1963,Hip,1045,1045,3,6,264
1806,50,68,4080,Inside,OldTown,1Fam,1.5Fin,6,8,1935,Gable,901,1378,3,6,162
1807,90,57,10307,Inside,OldTown,Duplex,2Story,6,5,1910,Gable,972,1944,4,12,324
1808,50,90,15660,Inside,OldTown,1Fam,1.5Fin,5,8,1910,Gable,240,1306,3,6,472
1809,70,90,9900,Corner,OldTown,1Fam,2Story,5,8,1910,Gable,504,1464,3,7,0
1810,70,57,6406,Inside,OldTown,1Fam,2Story,5,6,1939,Gable,690,1558,3,7,400
1811,190,63,7627,Corner,OldTown,2fmCon,2Story,4,6,1920,Gable,600,1701,4,8,0
1812,50,56,10134,Inside,OldTown,1Fam,1.5Fin,5,5,1910,Gable,801,1447,3,6,0
1813,50,50,6000,Inside,OldTown,1Fam,1.5Fin,5,7,1950,Gable,768,1328,3,6,308
1814,30,62,7404,Corner,OldTown,1Fam,1Story,4,6,1920,Gable,861,861,2,5,288
1815,30,50,5925,Corner,OldTown,1Fam,1Story,2,4,1940,Gable,0,612,1,4,308
1816,30,60,8520,Inside,OldTown,1Fam,1Story,5,8,1923,Gable,624,792,2,5,287
1817,70,60,9600,Inside,OldTown,1Fam,2Story,4,4,1910,Gable,677,1510,3,7,720
1818,70,70,8400,Corner,OldTown,1Fam,2Story,6,7,1900,Gable,917,2007,3,8,357
1819,70,60,3600,Inside,OldTown,1Fam,2Story,6,7,1917,Gable,624,1288,3,5,280
1820,30,NA,3300,Inside,OldTown,1Fam,1Story,4,3,1910,Gable,624,816,2,5,0
1821,50,60,5400,Inside,OldTown,1Fam,1.5Fin,6,6,1920,Gable,972,1480,3,6,207
1822,70,60,9720,Inside,OldTown,1Fam,2Story,6,7,1910,Gable,741,1521,4,8,640
1823,30,72,9392,Corner,IDOTRR,1Fam,1Story,3,3,1900,Mansard,245,797,2,5,0
1824,30,NA,6615,Inside,BrkSide,1Fam,1Story,6,6,1923,Gable,1022,1432,3,6,216
1825,70,50,4960,Inside,BrkSide,1Fam,1.5Fin,5,7,1930,Gable,297,1654,3,7,336
1826,50,60,6000,Corner,BrkSide,1Fam,1.5Fin,5,5,1924,Gable,468,1142,3,6,320
1827,30,51,6120,Inside,BrkSide,1Fam,1Story,5,6,1925,Gable,960,995,2,5,264
1828,50,51,6120,Inside,BrkSide,1Fam,1.5Fin,5,6,1938,Gable,952,1582,3,6,250
1829,30,50,8635,Inside,BrkSide,1Fam,1Story,5,5,1925,Hip,1072,1072,2,5,1184
1830,70,57,8094,Inside,OldTown,1Fam,2Story,6,6,1915,Gable,1048,1768,3,8,576
1831,70,68,9928,Inside,OldTown,1Fam,2Story,7,8,1915,Gable,672,1944,3,8,216
1832,90,50,3000,Inside,OldTown,Duplex,2Story,5,1,1922,Hip,1040,2128,4,11,0
1833,70,57,6876,Inside,IDOTRR,1Fam,2Story,6,5,1927,Gable,720,1930,4,8,316
1834,70,NA,5775,Corner,OldTown,1Fam,2Story,6,7,1915,Gable,483,1427,3,7,379
1835,190,41,5852,Corner,OldTown,2fmCon,2.5Unf,7,5,1902,Gable,1020,1864,6,9,0
1836,50,60,5160,Corner,IDOTRR,1Fam,1.5Fin,6,6,1927,Gable,1204,1666,3,4,384
1837,85,86,5160,Inside,IDOTRR,1Fam,SFoyer,4,6,1923,Hip,858,892,1,5,0
1838,190,60,10320,Inside,IDOTRR,2fmCon,2Story,6,7,1915,Gable,698,1403,3,7,308
1839,20,50,4280,Inside,Sawyer,1Fam,1Story,4,9,1946,Gable,560,704,2,4,220
1840,90,60,10800,Inside,Edwards,Duplex,1Story,5,5,1987,Gable,1200,1200,3,5,0
1841,90,NA,10547,Inside,Edwards,Duplex,SFoyer,5,5,1978,Gable,1152,1152,2,6,252
1842,50,60,9780,Inside,Edwards,1Fam,1.5Fin,5,3,1934,Gable,585,1112,4,6,226
1843,20,75,11625,Inside,Sawyer,1Fam,1Story,5,6,1967,Hip,1052,1052,3,6,668
1844,85,NA,8014,CulDSac,Sawyer,1Fam,SFoyer,6,5,1978,Gable,456,1034,3,5,504
1845,80,88,15400,Inside,Sawyer,1Fam,SLvl,5,5,1961,Hip,552,1774,4,8,384
1846,80,88,15312,Inside,Sawyer,1Fam,SLvl,6,5,1960,Hip,1138,1138,3,6,480
1847,80,NA,15584,Inside,ClearCr,1Fam,SLvl,5,5,1956,Hip,825,2071,4,9,336
1848,20,NA,9000,Corner,Sawyer,1Fam,1Story,2,2,1947,Gable,0,660,2,5,0
1849,20,NA,15635,CulDSac,Edwards,1Fam,1Story,4,5,1954,Gable,0,1383,2,6,498
1850,20,68,9571,Inside,Edwards,1Fam,1Story,5,5,1956,Hip,1073,1073,2,5,340
1851,60,50,9350,Inside,Edwards,1Fam,2Story,6,7,1946,Hip,747,1639,3,6,240
1852,20,62,7440,Inside,Edwards,1Fam,1Story,5,6,1954,Gable,1089,1089,3,5,252
1853,120,42,4235,Inside,Edwards,TwnhsE,1Story,5,5,1984,Gable,1049,1049,2,5,266
1854,80,74,10778,Inside,SawyerW,1Fam,SLvl,7,6,1990,Gable,1054,1061,1,4,462
1855,80,66,19255,Inside,SawyerW,1Fam,SLvl,6,5,1983,Gable,520,1338,2,5,576
1856,60,85,10560,Corner,SawyerW,1Fam,2Story,7,5,1993,Gable,1079,1879,3,8,473
1857,70,120,26400,FR2,SawyerW,1Fam,2Story,5,7,1880,Gable,0,2016,4,7,576
1858,90,64,7018,Inside,SawyerW,Duplex,2Story,5,5,1979,Gable,0,2228,6,8,720
1859,90,64,7018,Inside,SawyerW,Duplex,1Story,5,5,1979,Gable,0,1535,4,8,400
1860,90,64,7040,Inside,SawyerW,Duplex,SFoyer,5,5,1979,Gable,1094,1229,2,6,672
1861,90,64,7007,Inside,SawyerW,Duplex,1Story,5,5,1979,Gable,0,1513,4,8,400
1862,90,NA,11855,Inside,SawyerW,Duplex,2Story,7,5,2000,Hip,1168,2787,6,8,820
1863,90,NA,7939,Inside,SawyerW,Duplex,2Story,7,5,2000,Hip,1168,2787,6,8,820
1864,90,NA,7976,Inside,SawyerW,Duplex,2Story,7,5,2000,Hip,1168,2787,6,8,820
1865,20,84,10933,Inside,CollgCr,1Fam,1Story,9,5,2009,Hip,1555,1680,1,8,1138
1866,20,65,10816,Inside,CollgCr,1Fam,1Story,9,5,2008,Gable,1720,1720,3,8,846
1867,20,71,9178,Inside,CollgCr,1Fam,1Story,8,5,2008,Gable,1468,1468,3,6,904
1868,20,77,11422,Inside,CollgCr,1Fam,1Story,8,5,2007,Hip,1838,1838,3,7,524
1869,20,64,6762,Inside,CollgCr,1Fam,1Story,7,5,2007,Gable,1282,1290,2,6,662
1870,20,95,10324,Corner,CollgCr,1Fam,1Story,8,5,2008,Gable,1254,1254,2,5,810
1871,20,78,11645,Inside,CollgCr,1Fam,1Story,8,5,2005,Gable,1498,1498,3,7,844
1872,60,79,11646,Inside,CollgCr,1Fam,2Story,6,5,2005,Gable,704,1422,3,7,440
1873,60,NA,16698,CulDSac,ClearCr,1Fam,2Story,7,5,1992,Gable,1449,1759,3,7,525
1874,20,65,9757,Inside,CollgCr,1Fam,1Story,5,7,1994,Gable,990,990,3,5,440
1875,20,65,14753,Inside,CollgCr,1Fam,1Story,7,5,1998,Gable,1463,1463,3,5,539
1876,60,70,8750,Inside,CollgCr,1Fam,2Story,6,5,1998,Gable,928,1772,3,7,492
1877,20,65,10739,Inside,CollgCr,1Fam,1Story,7,5,2002,Gable,1431,1444,3,6,577
1878,20,75,11166,Inside,CollgCr,1Fam,1Story,7,5,2001,Gable,1492,1492,3,6,608
1879,20,NA,16269,CulDSac,CollgCr,1Fam,1Story,5,5,1978,Gable,907,907,3,5,343
1880,20,76,6950,Inside,CollgCr,1Fam,1Story,5,7,1979,Gable,914,914,2,5,444
1881,20,90,11664,Corner,CollgCr,1Fam,1Story,7,5,2002,Hip,1569,1611,3,6,1231
1882,60,NA,12334,Inside,CollgCr,1Fam,2Story,8,5,2003,Gable,1068,2184,4,8,570
1883,60,70,8749,Inside,CollgCr,1Fam,2Story,7,5,2002,Gable,840,1725,3,6,550
1884,60,NA,11250,Corner,CollgCr,1Fam,2Story,7,5,2001,Gable,944,1870,3,6,608
1885,20,90,15750,FR3,CollgCr,1Fam,1Story,8,5,1999,Gable,1462,1513,2,5,521
1886,20,NA,12782,Inside,CollgCr,1Fam,1Story,8,5,2002,Hip,1822,1828,3,7,523
1887,20,70,8750,Inside,CollgCr,1Fam,1Story,7,5,1997,Gable,1417,1417,3,7,511
1888,20,85,10200,Inside,CollgCr,1Fam,1Story,8,5,2007,Gable,1578,1602,3,7,810
1889,60,85,11069,Corner,CollgCr,1Fam,2Story,6,5,2007,Gable,608,1396,3,6,440
1890,20,80,10682,Inside,Edwards,1Fam,1Story,4,6,1960,Gable,1014,1149,3,7,544
1891,180,35,3675,Inside,Edwards,TwnhsE,SFoyer,6,5,2005,Gable,547,1072,2,5,525
1892,20,64,6410,Inside,Edwards,1Fam,1Story,4,5,1959,Gable,876,876,3,5,320
1893,20,70,11767,Inside,Edwards,1Fam,1Story,5,5,1950,Gable,1078,1368,3,6,195
1894,90,65,10926,Inside,Edwards,Duplex,1Story,5,5,1959,Hip,1678,1678,6,10,0
1895,20,70,11767,Inside,Edwards,1Fam,1Story,5,5,1956,Hip,1150,1560,2,7,313
1896,50,45,8212,Inside,Edwards,1Fam,1.5Fin,5,6,1941,Gable,720,1298,3,6,256
1897,50,70,6300,Corner,SWISU,1Fam,1.5Fin,5,4,1938,Gable,832,1268,3,7,250
1898,70,43,5707,Inside,SWISU,1Fam,2Story,6,6,1935,Gable,583,1242,3,6,180
1899,30,64,8574,Inside,Crawfor,1Fam,1Story,6,8,1916,Gable,816,1232,3,6,440
1900,70,53,7155,Inside,Crawfor,1Fam,2Story,7,8,1918,Gambrel,600,1228,3,6,215
1901,50,60,13680,Inside,Crawfor,1Fam,1.5Fin,5,6,1940,Gable,840,1567,2,6,440
1902,20,80,14680,Inside,Crawfor,1Fam,1Story,5,4,1960,Gable,1273,1273,2,5,307
1903,90,NA,8145,Corner,Crawfor,Duplex,2.5Unf,7,6,1940,Gable,920,2480,5,13,400
1904,20,70,9100,Inside,Crawfor,1Fam,1Story,5,6,1954,Gable,1112,1112,2,6,390
1905,20,90,13339,Inside,Crawfor,1Fam,1Story,6,6,1960,Gable,1561,1561,3,6,463
1906,50,78,15600,Inside,Crawfor,1Fam,1.5Fin,5,7,1949,Gable,1067,1523,3,7,295
1907,20,100,17500,Corner,Crawfor,1Fam,1Story,6,5,1954,Gable,1310,1906,3,6,576
1908,160,24,1733,Inside,Blueste,Twnhs,2Story,6,6,1980,Gable,516,1032,2,5,452
1909,160,24,1488,Inside,Blueste,TwnhsE,2Story,6,6,1980,Gable,561,1229,2,5,462
1910,160,24,1612,Inside,Blueste,Twnhs,2Story,6,6,1980,Gable,561,1229,2,5,462
1911,80,NA,13607,Inside,Crawfor,1Fam,SLvl,6,6,1986,Gable,572,1982,3,6,501
1912,20,NA,17597,Inside,Crawfor,1Fam,1Story,7,9,1971,Hip,1803,2365,3,7,551
1913,70,50,8660,Inside,IDOTRR,1Fam,2Story,5,6,1900,Gambrel,760,2168,5,11,576
1914,30,60,10200,Inside,IDOTRR,1Fam,1Story,4,6,1925,Gable,572,572,2,4,200
1915,120,44,3843,Inside,Crawfor,TwnhsE,1Story,8,5,2007,Hip,1596,1648,2,5,482
1916,30,109,21780,Inside,IDOTRR,1Fam,1Story,2,4,1910,Gable,0,810,1,4,280
1917,60,75,10125,Inside,Mitchel,1Fam,2Story,8,5,2000,Gable,1107,2052,3,7,642
1918,85,75,9750,Inside,Mitchel,1Fam,SFoyer,6,6,1977,Gable,902,926,2,5,351
1919,85,72,9360,Inside,Mitchel,1Fam,SFoyer,6,7,1977,Gable,957,1287,2,5,541
1920,20,82,11070,Inside,Mitchel,1Fam,1Story,5,5,1991,Gable,1582,1595,2,5,672
1921,20,113,13438,Corner,Timber,1Fam,1Story,9,5,2008,Gable,2190,2036,3,9,780
1922,20,79,14463,Corner,Timber,1Fam,1Story,9,5,2008,Gable,1641,1641,3,7,885
1923,60,NA,9839,CulDSac,Timber,1Fam,2Story,6,8,1980,Gable,712,2237,3,7,440
1924,80,125,14419,Corner,Timber,1Fam,SLvl,7,5,1987,Hip,1645,1479,3,7,578
1925,60,75,9157,Corner,Timber,1Fam,2Story,7,5,2003,Gable,912,2014,3,9,486
1926,20,85,12633,Inside,Timber,1Fam,1Story,9,5,2007,Hip,1978,1978,2,7,920
1927,20,75,12518,Inside,Mitchel,1Fam,1Story,5,7,1968,Gable,1008,1008,3,6,384
1928,20,83,13383,Inside,Mitchel,1Fam,1Story,5,5,1969,Hip,1188,1404,3,7,504
1929,85,50,7689,Inside,Mitchel,1Fam,SFoyer,5,8,1972,Gable,796,796,2,4,336
1930,80,62,7706,Inside,Mitchel,1Fam,SLvl,6,5,1993,Gable,384,1091,2,5,429
1931,85,70,7669,Inside,Mitchel,1Fam,SFoyer,5,6,1992,Gable,828,883,2,5,698
1932,60,62,10429,Inside,Mitchel,1Fam,2Story,5,5,1992,Gable,624,1287,3,6,440
1933,60,70,10457,Inside,Mitchel,1Fam,2Story,5,7,1969,Gable,784,1632,4,7,898
1934,60,72,8702,Inside,Gilbert,1Fam,2Story,6,5,1997,Gable,926,1604,3,7,470
1935,60,65,8139,Inside,Gilbert,1Fam,2Story,6,5,1995,Gable,680,1470,3,7,420
1936,60,59,9535,Inside,Gilbert,1Fam,2Story,6,5,1998,Gable,926,1604,3,7,472
1937,60,NA,15038,Corner,Gilbert,1Fam,2Story,6,5,1996,Gable,916,1636,3,7,386
1938,20,53,14137,Inside,Gilbert,1Fam,1Story,5,5,1996,Gable,1348,1384,3,7,404
1939,120,45,6264,Corner,StoneBr,1Fam,1Story,8,5,1997,Gable,1664,1682,1,6,528
1940,120,39,5070,Inside,StoneBr,TwnhsE,1Story,8,5,1992,Gable,1280,1280,2,5,506
1941,60,73,11184,Corner,Gilbert,1Fam,2Story,6,5,1998,Gable,932,1633,3,7,460
1942,60,NA,14067,FR3,Gilbert,1Fam,2Story,6,5,1991,Gable,836,1709,3,7,416
1943,120,65,5950,Inside,StoneBr,TwnhsE,1Story,8,5,1989,Gable,1337,1337,2,5,462
1944,60,101,13543,Corner,StoneBr,1Fam,2Story,8,5,2005,Gable,1168,2500,5,9,683
1945,20,53,15401,CulDSac,StoneBr,1Fam,1Story,9,5,2004,Hip,1884,1884,2,7,670
1946,20,NA,31220,FR2,Gilbert,1Fam,1Story,6,2,1952,Hip,1632,1474,3,7,495
1947,120,60,8118,Inside,StoneBr,TwnhsE,1Story,9,5,2007,Hip,1710,1710,2,6,557
1948,20,NA,47280,Inside,Gilbert,1Fam,1Story,6,5,1950,Hip,1488,1488,3,6,738
1949,20,63,12680,Inside,NWAmes,1Fam,1Story,7,6,1988,Gable,1675,1688,2,6,528
1950,20,NA,10825,Inside,NWAmes,1Fam,1Story,7,7,1983,Gable,1260,1260,3,6,598
1951,20,56,18559,CulDSac,NWAmes,1Fam,1Story,7,5,1978,Hip,2048,2064,3,7,550
1952,20,85,14450,Inside,NWAmes,1Fam,1Story,7,5,1979,Hip,1782,1782,3,6,551
1953,20,90,13068,Corner,NWAmes,1Fam,1Story,6,5,1976,Hip,1211,1211,3,6,461
1954,60,80,10400,Inside,NWAmes,1Fam,2Story,7,6,1980,Gable,738,2044,3,7,489
1955,60,75,9743,Inside,NWAmes,1Fam,2Story,5,6,1969,Gable,720,1308,3,7,484
1956,60,NA,12511,Corner,NWAmes,1Fam,2Story,7,7,1978,Mansard,1420,2840,4,8,1314
1957,20,80,10400,Inside,NWAmes,1Fam,1Story,6,5,1976,Gable,1444,1444,2,5,473
1958,60,NA,14311,FR3,NWAmes,1Fam,2Story,8,5,1996,Gable,1236,2340,4,9,787
1959,90,60,9000,FR2,NAmes,Duplex,2Story,5,5,1974,Gable,896,1792,4,8,480
1960,20,68,10295,FR2,NAmes,1Fam,1Story,4,6,1969,Gable,936,936,2,4,288
1961,20,63,7560,Inside,NAmes,1Fam,1Story,5,5,1971,Hip,864,864,3,5,576
1962,160,21,1680,Inside,BrDale,Twnhs,2Story,6,5,1973,Gable,483,987,2,5,264
1963,160,21,1890,Inside,BrDale,Twnhs,2Story,6,6,1972,Gable,483,987,2,5,352
1964,160,21,1680,Inside,BrDale,Twnhs,2Story,5,5,1972,Gable,630,1302,3,6,264
1965,160,24,2308,FR2,NPkVill,TwnhsE,2Story,6,6,1975,Gable,855,1456,4,7,460
1966,120,24,2529,Inside,NPkVill,Twnhs,1Story,7,6,1977,Gable,1055,1055,2,4,440
1967,20,98,12704,Inside,NridgHt,1Fam,1Story,8,5,2007,Hip,1582,1582,3,7,905
1968,20,105,13693,Inside,NridgHt,1Fam,1Story,8,5,2007,Hip,2418,2464,4,9,650
1969,20,104,14418,Inside,NridgHt,1Fam,1Story,9,5,2007,Hip,1950,1950,2,7,706
1970,60,108,13418,Inside,NridgHt,1Fam,2Story,9,5,2006,Hip,1850,2748,4,9,850
1971,60,96,12539,Inside,NridgHt,1Fam,2Story,10,5,2005,Hip,1620,2790,4,10,1150
1972,60,102,12151,Inside,NridgHt,1Fam,2Story,9,5,2005,Gable,1414,2331,3,9,1003
1973,60,74,8899,Inside,NridgHt,1Fam,2Story,8,5,2007,Hip,948,2088,4,10,656
1974,60,85,10574,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,1148,2332,4,9,756
1975,20,106,12720,Inside,NridgHt,1Fam,1Story,10,5,2003,Hip,2535,2470,1,7,789
1976,20,92,10845,Corner,NridgHt,1Fam,1Story,8,5,2003,Gable,1603,1575,2,7,732
1977,60,130,16900,Inside,NridgHt,1Fam,2Story,8,5,2001,Gable,1479,2649,4,10,746
1978,60,112,16451,Corner,NridgHt,1Fam,2Story,8,5,2003,Gable,1765,2690,4,9,795
1979,120,58,10110,Inside,NridgHt,TwnhsE,1Story,9,5,2008,Hip,1858,1866,2,7,870
1980,120,135,12304,Corner,NridgHt,TwnhsE,1Story,7,5,2005,Gable,1367,1367,2,6,484
1981,120,89,8232,Inside,NridgHt,TwnhsE,1Story,9,5,2007,Hip,1800,1800,2,6,944
1982,120,48,6240,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Hip,1342,1342,2,6,550
1983,120,48,6240,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Hip,1342,1342,2,6,550
1984,160,36,2448,Inside,NridgHt,Twnhs,2Story,7,5,2003,Gable,764,1626,2,6,474
1985,120,NA,3940,Inside,Blmngtn,TwnhsE,1Story,7,5,2003,Gable,1415,1455,2,6,644
1986,120,NA,3940,Inside,Blmngtn,TwnhsE,1Story,7,5,2004,Hip,1393,1576,2,7,668
1987,20,53,3710,Inside,Blmngtn,1Fam,1Story,7,5,2007,Gable,1146,1246,2,5,428
1988,60,80,9024,Inside,Gilbert,1Fam,2Story,6,5,2004,Gable,789,1515,3,8,393
1989,60,NA,8010,Inside,Gilbert,1Fam,2Story,7,5,2002,Gable,840,1720,3,7,400
1990,60,NA,8396,Inside,Gilbert,1Fam,2Story,7,5,2003,Gable,847,1986,4,9,434
1991,120,55,7301,Inside,NridgHt,TwnhsE,1Story,7,6,2007,Gable,1350,1358,2,6,484
1992,60,71,8220,Inside,Gilbert,1Fam,2Story,7,5,2000,Gable,982,1892,3,8,431
1993,60,NA,7750,Inside,Gilbert,1Fam,2Story,7,5,2002,Gable,707,1414,3,6,403
